"chart sheet","گىرافىك ۋارىقى"
"chart style","گىرافىك ئۇسلۇبى"
"chat","مۇڭداشماق"
"cheat sheet","پايدىلانما"
"check","تەكشۈرۈش"
"check box","تەكشۈرۈش رامكىسى"
"check in","كىرگۈزۈش"
"Check Names","ئىسىملارنى تەكشۈرۈش"
"check out","چىقىرىش"
"Checkout","ھېساب بوغۇش"
"checkout","ھېساب بوغۇش"
"checkpoint","تەكشۈرۈش نۇقتىسى"
"Chevron List","چەۋرون تىزىملىكى"
"CHF","شىۋېتسارىيە فىرانكى"
"child","بالا"
"child account","بالا ھېساباتى"
"child element","بالا ئېلېمېنت"
"child menu","بالا تىزىملىك"
"Chilled","توڭلىغان"
"chip","ئۆزەك"
"choose","تاللىماق"
"choropleth map","نىسبەتلىك خەرىتە"
"Circular Bending Process","ھالقىسىمان ئەگمە"
"citation","نەقىل"
"Citrus","ئەپلىسىن"
"City guides","شەھەر يېتەكچىسى"
"CJK Strokes","CJK خەت سىزىقلىرى"
"CLABE","CLABE"
"Clarity and Conciseness","ئېنىقلىق ۋە ئىخچاملىق"
"class","تۈركۈم"
"Classic","كىلاسسىك"
"Classic Ribbon","كىلاسسىك بەلباغ"
"Classics","كىلاسسىك"
"class materials","دەرس ماتېرىياللىرى"
"class module","تىپ قۇرۇلمىسى"
"Class Schedule","دەرس جەدۋىلى"
"Clean","‏‏تازىلاش, پاكىز"
"Clean Up","تازىلاش"
"clear","تازىلىماق"
"Clear Recordings","خاتىرىنى تازىلاش"
"ClearType","ClearType"
"click","چەكمەك"
"Click and Type pointer shape","چەكمە ۋە يازما كۆرسەتكۈچ شەكلى"
"Click-to-Run","Click-to-Run"
"client","ئابۇنىتېر"
"Client Access Rule","ئابۇنتېر زىيارەت قائىدىسى"
"client authentication","ئۇچئەپ تەستىقى"
"client computer","خېرىدار كومپيۇتېر"
"Client Hyper-V","خېرىدار Hyper-V"
"client object model","خېرىدار ئوبيېكتى مودېلى"
"client-side rendering","خېرىدار تەرەپتىن كۆرسىتىش"
"clip","كەسمە"
"clip art","قىستۇرما رەسىم"
"clipboard","كېسىپ-چاپلاش تاختىسى"
"clip collection","كەسمە توپلىمى"
"Clipper","كەسكۈچ"
"clock","سائەت"
"CLOOKUP","CLOOKUP"
"close","ياپماق"
"closed caption","خېتى"
"closed captioning","يوشۇرۇن خەتلىك"
"Closed Chevron Process","يېپىق چەۋرون"
"cloud","بۇلۇت"
"Cloud App Model","بۇلۇت ئەپ مودېلى"
"Cloud auto attendant","بۇلۇتتا ئاپتوماتىك قاتناشقۇچى"
"Cloud call queue","ئەپ تارتمىسى"
"CLP","CLP"
"cluster","توپ"
"clustered bar chart","سېلىشتۇرما گىرافىك"
"clustered column chart","سېلىشتۇرما جەدۋەل"
"cluster node","توپ تۈگۈن"
"Clutter","تاغدىن-باغدىن"
"CNPJ","CNPJ"
"CNY","خەلق پۇلى"
"COALESCE","COALESCE"
"co-author","بىرلىكتە يېزىش"
"co-authoring","بىرلىكتە يېزىش"
"COD","COD"
"code access security","كود بىخەتەرلىكى"
"codec","كودىلىغۇچ"
"Code of Conduct","باشقۇرۇش چارىسى"
"code page","كود بېتى"
"code pane","كود كۆزنىكى"
"code sign","كودلۇق ئىمزالاش"
"code signing","كود ئىمزالاش"
"coefficient of determination","بەلگىلەش كوئېففىتسېنتى"
"COLARRAY","رەت قاتار"
"Collaboration","ھەمكارلىق"
"collaboration","ھەمكارلىق"
"collaboration session","ھەمكارلق دىيالوگى"
"collaboration time","چاقىرىق ئۆچرىتى"
"collapse","يىغماق"
"Collection","توپلام"
"collection","توپلام"
"Collections","توپلاملار"
"collocation","بىرىكىش"
"color boost","رەڭ ئاشۇرۇش"
"color category","رەڭ تۈرى"
"color profile","رەڭ سەپلىمە ھۆججىتى"
"color ramp","رەڭ دۆڭى"
"color scheme","رەڭ لايىھەسى"
"color separation","رەڭ ئايرىش"
"column","ئىستون"
"column area","رەت رايونى"
"column break","قۇرنى بۆلۈش"
"column chart","رەت گىرافىكى"
"column field","رەت ئورنى"
"column graph","ۋېرتىكال گىرافىك"
"column heading","رەت ماۋزۇسى"
"column index","ۇلۇت چاقىرىق ئۆچرىتى"
"column selector","رەت تاللىغۇچ"
"COM add-in","COM قىستۇرمىسى"
"combination chart","بىرىكمە جەدۋەل"
"combine","بىرلەشتۈرمەك"
"combo box","بىرىكمە رامكا"
"combo box control","بىرىكمە رامكا تىزگىنى"
"Coming soon","پات ئارىدا چىقىدۇ"
"Coming Soon","پات ئارىدا چىقىدۇ"
"comma","پەش"
"Comma After Greetings","سالامدىن كېيىن پەش"
"comma-delimited text file","پەش بىلەن ئايرىلىدىغان تېكست"
"command","بۇيرۇق"
"command button","بۇيرۇق كۇنۇپكىسى"
"command line","بۇيرۇق قۇرى"
"comment","ئىنكاس"
"comment hint","ئىنكاس ئۇچۇرى"
"comment mark","ئىنكاس بەلگىسى"
"Comments","ئىنكاسلار"
"Comments pane","ئىنكاس كۆزنىكى"
"commercial printing","ھەقلىق بېسىش"
"common language runtime","ئورتاق تىل ئىجرا ۋاقتى"
"Commonly Confused Phrases","دائىم خاتالىشىدىغان ئىبارىلەر"
"communication site","ئالاقە بېكىتى"
"Community","توپ"
"community champion","مەھەللە سەركىسى"
"compaction","ئىخچاملاش"
"compact row axis","تەڭشەش ئوقى"
"Companion","ھەمراھ"
"companion app","ھەمراھ ئەپ"
"Companion (Preview)","Companion (Preview)"
"Companion Preview","Companion Preview"
"company","شىركەت"
"company data","شىركەت مەلۇماتى"
"Company Portal","Company Portal"
"Compare","سېلىشتۇرۇش"
"compare","سېلىشتۇرماق"
"Compare times","ۋاقىت سېلىشتۇرۇش"
"comparison criteria","سېلىشتۇرۇش ئۆلچىمى"
"comparison operator","سېلىشتۇرغۇچ"
"compatibility","ماسلىشىشچانلىقى"
"Compatibility Checker","ماسلىق تەكشۈرگۈچ"
"compatibility checker","ماسلىق تەكشۈرگۈچ"
"compatibility mode","ماس ھالەت"
"Compatibility View","ماسلاشما كۆرۈنۈش"
"compatible","ماسلىشىشچان"
"compile","تەرجىمىلەش"
"complementary colors","تولۇقلىغۇچى رەڭلەر"
"Complete the merge","بىرىكتۈرۈشنى تاماملاش"
"complex number","مۇرەككەپ سان"
"complex script","مۇرەككەپ يېزىق"
"Compliance Technologies International","Compliance Technologies International"
"component","بىرىكمە دېتال"
"Component Update Service","بىرىكمە دېتال يېڭىلاش مۇلازىمىتى"
"compose","يازماق"
"Comprehension mode","چۈشىنىشلىك ھالەت"
"compress","پىرېسلىماق"
"compression","پىرېسلاش"
"compression utility","پىرىسلاش قورالى"
"computer","كومپيۇتېر"
"computer build report","كومپيۇتېر ياساش دوكلاتى"
"computer language","كومپيۇتېر تىلى"
"Computer performance & health","كومپيۇتېرنىڭ يۈرۈشى ۋە ساغلاملىقى"
"computer security","كومپيوتېر بىخەتەرلىكى"
"CONCAT","CONCAT"
"concatenate","ئۇلىماق"
"concordance file","ئىندېكسلاش ھۆججىتى"
"condition","شەرت"
"conditional","شەرتلىك"
"conditional compiler constant","شەرتلىك تەھرىرلىگۈچ قىممىتى"
"conditional expression","شەرتلىك ئىپادە"
"conditional format","شەرتلىك ئەندىزە"
"conditional formatting","شەرتلىك فورماتلاش"
"cone chart","كونۇس گىرافىك"
"conference","يىغىن"
"conference bridge","يىغىن كۆۋرۈكى"
"conference resource","يىغىن مەنبەسى"
"Conferencing Announcement","يىغىن ئۇقتۇرۇشى"
"Conferencing Announcement application","يىغىن ئۇقتۇرۇش ئەپى"
"Conferencing Attendant","يىغىن ياردەمچىسى"
"Conferencing Attendant application","يىغىن ياردەمچىسى ئەپى"
"configuration","سەپلىمە"
"Configuration Protector","سەپلىمە قوغدىغۇچ"
"configure","سەپلىمەك"
"confirm","دەلىللىمەك"
"conflict","توقۇنۇش"
"#CONNECT!","#ئۇلاش!"
"connect","ئۇلىماق"
"Connect","ئۇلاش"
"connected experience","باغلانما ئىقتىدار"
"connected graph","ئۇلانما گىرافىك"
"connected standby","ئۇلىنىپ كۈتۈش"
"connection","ئۇلىنىش"
"Connection Manager","ئۇلىنىش باشقۇرغۇچى"
"connection type","ئۇلىنىش تىپى"
"connectivity","تۇتاشچانلىقى"
"connector","ئۇلىغۇچ"
"connector card","ئۇلىغۇچ كارتىسى"
"Connectors","ئۇلىغۇچلار"
"Connect to Office 365","Office 365 كە ئۇلىنىش"
"Connect with a data plan","ئېقىم پىلانى ئارقىلىق ئۇلاش"
"Consistency","بىردەكلىك"
"constant","تۇراقلىق مىقدار"
"constraint","چەكلەش"
"contact","ئالاقە"
"contact form","ئالاقە كۆزنىكى"
"contact group","ئالاقە توپى"
"Contact index","ئالاقە كۆرسەتكۈچى"
"Contact info","كىشى ئۇچۇرى"
"contact info","ئالاقە ئۇچۇرى"
"contact information","ئالاقە ئۇچۇرى"
"contact linking","ئالاقە"
"contact list","كىشى تىزىملىكى"
"contact management","ئالاقە باشقۇرۇش"
"contact request","ئالاقىداش تەلىپى"
"Contacts","كىشىلەر"
"container","قاچا"
"Content","مەزمۇن"
"content","مەزمۇن"
"Content by Query","كۆرسەتمىلىك مەزمۇن"
"content card","مەزمۇن كارتىسى"
"content class","مەزمۇن تۈرى"
"content control","مەزمۇن تىزگىنى"
"content library","مەزمۇن ئامبىرى"
"content master","مەزمۇن يېتەكچىسى"
"content pack","مەزمۇن بولىقى"
"Content Query","مەزمۇن كۆرسەتمىسى"
"Contents","مەزمۇنلار"
"Content Search","مەزمۇن ئىزدەش"
"content template","مەزمۇن قېلىپى"
"content type","مەزمۇن تىپى"
"Context","كونتېكست"
"context menu","كونتېكىست تىزىملىك"
"contextual command bar","يانداش بۇيرۇق بالدىقى"
"contextual menu","يانداش تىزىملىك"
"Contextual Spelling","ئىملا تەكشۈرۈش"
"contextual toolbar","كونتېكىستلىق قورالبالداق"
"Continuous Arrow Process","ئۇدا كۆرسەتكۈچ جەريانى"
"Continuous Block Process","داۋاملىشىدىغان بۆلەك"
"continuous crawl","داۋاملىق يۈرگۈزۈش"
"Continuous Cycle","داۋاملىشىدىغان ھالقا"
"Continuous Picture List","داۋاملىشىدىغان رەسىم تىزىملىكى"
"Continuum","Continuum"
"contour","ئومۇمىي كۆرۈنۈش"
"contour chart","كۆرۈنۈشلۈك سىخېما"
"contrast","سېلىشتۇرمىسى"
"contributor","قاتناشقۇچى"
"control","كونترول"
"control character","تەڭشىگۈچ بەلگە"
"control group","تىزگىن گۇرۇپپىسى"
"controlled folder access","تىزگىنلىك قىسقۇچ ئىجازىتى"
"Control Panel","كونترول تاختىسى"
"control tip","تىزگىن كۆرسەتمىسى"
"Control Tools","كونترول قوراللىرى"
"Converging Arrows","يىغما يۆنىلىش"
"Converging Radial","يىغما رادىيوس"
"conversation","سۆزلىشىش"
"Conversational","سۆھبەت"
"conversion","ئالماشتۇرۇش"
"conversion item","ئايلاندۇرىدىغان ھۆججەت"
"converter","ئايلاندۇرغۇچ"
"Convert to Linked Record","ئۇلانما خاتىرىگە ئايلاندۇرۇش"
"Convert to Shape","شەكىلگە ئايلاندۇرۇش"
"cookie","cookie"
"coordinate pair","جۈپ كوردىنات"
"COP","كولومبىيە پېسوسى"
"copy","كۆچۈرمەك"
"copy area","كۆچۈرۈش بۆلىكى"
"copyright","نەشىر ھوقۇقى"
"core editing","يادرولۇق تەھرىرلەش"
"Core isolation","يادرولۇق ئايرىلىش"
"corporation","ئېغىز"
"Corrections","توغرىلاش"
"correspondent account","ۋاكالەت ھېسابات"
"corrupted","بۇزۇلغان"
"Cortana","Cortana"
"Cortana Show Me","Cortana Show Me"
"Cortana skill","Cortana ماھارىتى"
"Cosmos","ئالەم"
"counter","سانىغۇچ"
"Counterbalance Arrows","تەڭپۇڭ يۆنىلىش"
"cover","مۇقاۋا"
"cover photo","مۇقاۋا رەسىمى"
"coworker shape","ھەمكارلىق شەكلى"
"CPF","CPF"
"CPU","CPU"
"create","قۇرۇش"
"Creators Collection","قۇرغۇچىلار توپلىمى"
"Credential Locker","Credential بىخەتەرلىك ساندۇقى"
"credentials","كىملىك ئۇچۇرلىرى"
"criteria","چەكلىمە"
"Criteria pane","ئۆلچەم كۆزنىكى"
"CRM","خېرىدار باشقۇرۇش مۇناسىۋىتى"
"CRM for Outlook","Outlook ئۈچۈن CRM"
"crop","كېسىش"
"CROPARRAY","كەسمە قاتار"
"Crop Handle Magnifier","كەسكۈچ چوڭايتقۇچ"
"cross-functional flowchart","كۆپ ئىقتىدارلىق ئاقما گىرافىك"
"cross-site publishing","بېكەتلار ئارا ئېلان قىلىش"
"cross-site request forgery","زىيارەت ئىلتىماسى ئالدامچىلىقى"
"crosstab query","ئۆتۈشمە سۈرۈشتۈرمىسى"
"crypto agility","مەخپىيلەشتۈرۈشچانلىق"
"CryptoAPI 2.0","CryptoAPI 2.0"
"crypto escrow key","مەخپىيلەشتۈرۈلگەن ئاچقۇچ"
"CSOM","CSOM"
"CSR","CSR"
"CSRF","CSRF"
"CTI","CTI"
"CTRL","CTRL"
"cube","كۇب"
"curate","توپلىماق"
"curated by","توپلىغۇچى"
"curfew","چەكلەنگەن ۋاقىت"
"Currency","پۇل"
"currency symbol","پۇل بەلگىسى"
"current cell","نۆۋەتتىكى كاتەكچە"
"current region","نۆۋەتتىكى رايون"
"cursor","نۇربەلگە"
"custom action","ئۆزلەشتۈرمە مەشغۇلات"
"Custom Animation list","ئۆزلەشمە پىرويېكسىيە تىزىملىكى"
"custom calculation","ئۆزلەشمە ھېسابلاش"
"custom control","ئىختىيارى كونترول"
"custom dialog box","ئۆزلەشمە دىيالوگ رامكىسى"
"custom dictionary","ئۆزلەشمە لۇغەت"
"customer content","خېرىدارنىڭ مەزمۇنى"
"customer data","خېرىدارنىڭ مەلۇماتى"
"Customer Experience Improvement Program","خېرىدارلارنىڭ تەسىراتىنى ياخشىلاش پىروگراممىسى"
"Customer Lockbox","خېرىدار ئىجازىتى"
"Customer Manager","Customer Manager"
"customer service","خېرىدارلار مۇلازىمىتى"
"customer support","خېرىدارلار قوللىشى"
"custom extraction dictionary","ئۆزلەشتۈرمە لۇغەت"
"custom field","ئىختىيارى بۆلەك"
"custom group","ئۆزلەشتۈرمە گۇرۇپپا"
"custom group field","ئۆزلەشتۈرمە گۇرۇپپا ئورنى"
"customize","ئىختىيارىي بەلگىلىمەك"
"custom repeat","ئىختىيارىي تەكرارلاش"
"custom show","ئۆزلەشتۈرمە كۆرۈنۈش"
"custom toolbar","ئىختىيارى قورالبالداق"
